MFP ID,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium
265271846440317,Roasted Chicken Breast,Aladdin,True,Each,147.0,4.1,0.1,25.7,0.03,0.0,182.0,1.3
265271859055997,Grilled Chicken Breast,Aladdin,True,Each,171.0,3.7,0.0,32.1,0.0,0.0,77.0,1.6
265821577089021,BBQ Chicken Breast,Aladdin,True,Breast,141.0,3.4,0.2,25.7,0.04,0.0,72.0,1.3
195452870676349,Smoked Chicken Breast,Aladdin,True,oz,113.0,5.3,0.0,15.4,0.0,0.0,41.0,0.8
265273998151165,Pesto Chicken Breast,Aladdin,True,Each,180.0,4.5,0.1,32.4,0.05,0.0,90.0,2.8
274334216064829,Chicken Breast,Parkhurst,True,Oz,94.0,1.63,0.0,19.64,0.0,0.0,55.0,0.9
265273960369661,Marinated Chicken Breast,Aladdin,True,oz,163.0,7.3,0.2,22.7,0.02,0.0,113.0,1.2
62815817493997,Rotisserie Chicken Breast,Costco,True,oz,120.0,2.5,1.0,22.0,0.0,0.0,380.0,2.0
133186818166189,"Breast, Raw",Chicken,True,g,110.0,1.0,0.0,31.0,0.0,0.0,65.0,1.0
98285775572269,Chicken Breast Grilled,Perdue Chicken,True,oz,120.0,2.0,0.0,26.0,0.0,0.0,75.0,2.0
133745071656941,Chicken Breast Cutlets,Kroger,True,oz,110.0,3.0,0.0,22.0,0.0,0.0,230.0,0.0
97888666275501,Grilled Chicken Breast,Flik,True,ounce,147.033,4.0957,0.1121,25.6919,0.0289,0.0167,61.308,1.29391
265271846473213,Teriyaki Chicken Breast,Aladdin,True,Each,235.0,7.5,11.1,29.8,0.11,9.76,2825.0,3.0
265821568733053,Buffalo Chicken Breast,Aladdin,True,Each,175.0,4.1,0.2,32.1,0.05,0.0,89.0,1.6
98002488053677,Cooked Chicken Breast,Perdue,True,oz.,120.0,1.0,0.0,26.0,0.0,0.0,75.0,2.0
27631554440685,Boneless Chicken Breast,Kroger,True,oz,110.0,3.0,0.0,22.0,0.0,0.0,230.0,0.0
102260510846397,Chicken Breast (Fz),Cooked,False,oz,187.0,4.0,0.0,34.4,0.0,0.0,84.0,1.0
63367834021677,Chicken Breast,None,True,oz,250.0,13.0,0.0,30.0,0.0,0.0,91.0,1.0
28071800212525,Poached Chicken Breast,Flik,True,ounce,136.932,2.9579,0.0776,25.6927,0.0135,0.0022,85.8601,1.31564
